record_type,record_no,platform,channel,bp_channel,bp_segment,qi_switching,restricted,product,solution,admin_managed,core_noncore,fund_entity,growth_entity,concat_key_cf,concat_key,month,year,month_num,half_year,value,act_or_plan
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-01,2025,1,2025_H1,81900,Act
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-02,2025,2,2025_H1,213760,Act
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-03,2025,3,2025_H1,1142380,Act
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-04,2025,4,2025_H1,309660,Act
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-05,2025,5,2025_H1,-469710,Act
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-06,2025,6,2025_H1,330410,Act
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-07,2025,7,2025_H2,0,Plan
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-08,2025,8,2025_H2,0,Plan
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-09,2025,9,2025_H2,0,Plan
New Business,1,Platform 1,Channel 1,Segment One,Segment One,Segment One,Restricted,Product 01,External Solution,Admin only,Core,Legal Entity 2,Growth Rate 03,New BusinessPlatform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,2025-10,2025,10,2025_H2,0,Plan
