bp_segment,platform,half_year,weight
Segment One,Platform 1,2025_H2,0.991790512357231
Segment One,Platform 1,2026_H1,0.991790512357231
Segment One,Platform 1,2026_H2,0.991790512357231
Segment One,Platform 1,2027_H1,0.991790512357231
Segment One,Platform 1,2027_H2,0.991790512357231
Segment One,Platform 1,2028_H1,0.991790512357231
Segment One,Platform 1,2028_H2,0.991790512357231
Segment One,Platform 2,2025_H2,0.00820948764276935
Segment One,Platform 2,2026_H1,0.00820948764276935
Segment One,Platform 2,2026_H2,0.00820948764276935
Segment One,Platform 2,2027_H1,0.00820948764276935
Segment One,Platform 2,2027_H2,0.00820948764276935
Segment One,Platform 2,2028_H1,0.00820948764276935
Segment One,Platform 2,2028_H2,0.00820948764276935
