concat_key,platform,bp_segment,solution,product,entity,year,share_rate
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2025,0.00615195065679647
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2026,0.00614878855629457
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2027,0.00614878855629457
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2028,0.00614878855629457
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyNon CoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2025,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyNon CoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2026,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyNon CoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2027,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01External SolutionAdmin onlyNon CoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 01,Legal Entity 2,2028,0
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 02,Legal Entity 1,2025,0.0141134560610005
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 02,Legal Entity 1,2026,0.0140946720725358
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 02,Legal Entity 1,2027,0.0140946720725358
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 02,Legal Entity 1,2028,0.0140946720725358
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 02,Legal Entity 1,2025,0.0137141377020292
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 02,Legal Entity 1,2026,0.0137102241477738
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 02,Legal Entity 1,2027,0.0137102241477738
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 02,Legal Entity 1,2028,0.0137102241477738
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 02,Legal Entity 1,2025,0.0382774951248927
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 02,Legal Entity 1,2026,0.0382883712983932
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 02,Legal Entity 1,2027,0.0382883712983932
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 02,Legal Entity 1,2028,0.0382883712983932
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 02,Legal Entity 2,2025,0.0101893882064077
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 02,Legal Entity 2,2026,0.0101841508644069
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 02,Legal Entity 2,2027,0.0101841508644069
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 02External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 02,Legal Entity 2,2028,0.0101841508644069
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 03,Legal Entity 1,2025,0.0256043390759062
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 03,Legal Entity 1,2026,0.0255970324575592
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 03,Legal Entity 1,2027,0.0255970324575592
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 03,Legal Entity 1,2028,0.0255970324575592
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 03,Legal Entity 2,2025,0.00149461342865568
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 03,Legal Entity 2,2026,0.00149384519787221
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 03,Legal Entity 2,2027,0.00149384519787221
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 03External SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,External Solution,Product 03,Legal Entity 2,2028,0.00149384519787221
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 01,Legal Entity 1,2025,0.00243622447857494
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 01,Legal Entity 1,2026,0.00243298204013143
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 01,Legal Entity 1,2027,0.00243298204013143
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01London SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,London Solution,Product 01,Legal Entity 1,2028,0.00243298204013143
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 01,Legal Entity 1,2025,0.00823062455877521
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 01,Legal Entity 1,2026,0.00822827581498494
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 01,Legal Entity 1,2027,0.00822827581498494
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Birmingham SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Birmingham Solution,Product 01,Legal Entity 1,2028,0.00822827581498494
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 01,Legal Entity 1,2025,0.0121966514401681
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 01,Legal Entity 1,2026,0.0122001169986315
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 01,Legal Entity 1,2027,0.0122001169986315
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Liverpool SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Liverpool Solution,Product 01,Legal Entity 1,2028,0.0122001169986315
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Leeds SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Leeds Solution,Product 01,Legal Entity 2,2025,0.0179113025952289
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Leeds SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Leeds Solution,Product 01,Legal Entity 2,2026,0.0179325659860343
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Leeds SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Leeds Solution,Product 01,Legal Entity 2,2027,0.0179325659860343
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Leeds SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Leeds Solution,Product 01,Legal Entity 2,2028,0.0179325659860343
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Southampton SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Southampton Solution,Product 01,Legal Entity 2,2025,0.000100709314096898
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Southampton SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Southampton Solution,Product 01,Legal Entity 2,2026,9.90150171935306e-05
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Southampton SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Southampton Solution,Product 01,Legal Entity 2,2027,9.90150171935306e-05
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Southampton SolutionAdmin onlyCoreLegal Entity 2,Platform 1,Segment One,Southampton Solution,Product 01,Legal Entity 2,2028,9.90150171935306e-05
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2025,0.00149503416639022
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2026,0.00149394976505913
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2027,0.00149394976505913
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2028,0.00149394976505913
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2025,0.00462421369376635
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2026,0.00462085958748738
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2027,0.00462085958748738
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedCoreLegal Entity 1,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 1,2028,0.00462085958748738
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2025,3.82488849589434e-07
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2026,3.82211416854487e-07
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2027,3.82211416854487e-07
Platform 1Channel 1Segment OneSegment OneSegment OneRestrictedProduct 01Cardiff SolutionAdmin & ManagedNon CoreLegal Entity 2,Platform 1,Segment One,Cardiff Solution,Product 01,Legal Entity 2,2028,3.82211416854487e-07
