channel,year,month_num,seasonality_factor
Channel 1,2025,1,1.06029069059189
Channel 1,2025,2,0.978506755217904
Channel 1,2025,3,1.45555765154702
Channel 1,2025,4,0.793743186560683
Channel 1,2025,5,0.910162924754286
Channel 1,2025,6,0.954211803566903
Channel 1,2025,7,1.1
Channel 1,2025,8,0.88
Channel 1,2025,9,1.05
Channel 1,2025,10,1.05
Channel 1,2025,11,0.98
Channel 1,2025,12,0.85
Channel 1,2026,1,1
Channel 1,2026,2,1.05
Channel 1,2026,3,1.45
Channel 1,2026,4,0.77
Channel 1,2026,5,0.95
Channel 1,2026,6,1.01
Channel 1,2026,7,0.95
Channel 1,2026,8,0.88
Channel 1,2026,9,1.05
Channel 1,2026,10,1.05
Channel 1,2026,11,0.98
Channel 1,2026,12,0.85
Channel 1,2027,1,1
Channel 1,2027,2,1.05
Channel 1,2027,3,1.45
Channel 1,2027,4,0.77
Channel 1,2027,5,0.95
Channel 1,2027,6,1.01
Channel 1,2027,7,0.95
Channel 1,2027,8,0.88
Channel 1,2027,9,1.05
Channel 1,2027,10,1.05
Channel 1,2027,11,0.98
Channel 1,2027,12,0.85
Channel 1,2028,1,1
Channel 1,2028,2,1.05
Channel 1,2028,3,1.45
Channel 1,2028,4,0.77
Channel 1,2028,5,0.95
Channel 1,2028,6,1.01
Channel 1,2028,7,0.95
Channel 1,2028,8,0.88
Channel 1,2028,9,1.05
Channel 1,2028,10,1.05
Channel 1,2028,11,0.98
Channel 1,2028,12,0.85
Channel 2,2025,1,1.00483568179627
Channel 2,2025,2,1.07291559993656
Channel 2,2025,3,1.45121722680088
Channel 2,2025,4,0.796889640224851
Channel 2,2025,5,0.833943326338628
Channel 2,2025,6,1.00609210651396
Channel 2,2025,7,1.05
Channel 2,2025,8,0.9
Channel 2,2025,9,1.06
Channel 2,2025,10,1.08
Channel 2,2025,11,0.99
Channel 2,2025,12,0.84
Channel 2,2026,1,1
Channel 2,2026,2,1.1
Channel 2,2026,3,1.5
Channel 2,2026,4,0.75
Channel 2,2026,5,0.95
Channel 2,2026,6,1.02
Channel 2,2026,7,0.95
Channel 2,2026,8,0.95
Channel 2,2026,9,1.06
Channel 2,2026,10,1.08
Channel 2,2026,11,0.99
Channel 2,2026,12,0.84
Channel 2,2027,1,1
Channel 2,2027,2,1.1
Channel 2,2027,3,1.5
Channel 2,2027,4,0.75
Channel 2,2027,5,0.95
Channel 2,2027,6,1.02
Channel 2,2027,7,0.95
Channel 2,2027,8,0.95
Channel 2,2027,9,1.06
Channel 2,2027,10,1.08
Channel 2,2027,11,0.99
Channel 2,2027,12,0.84
Channel 2,2028,1,1
Channel 2,2028,2,1.1
Channel 2,2028,3,1.5
Channel 2,2028,4,0.75
Channel 2,2028,5,0.95
Channel 2,2028,6,1.02
Channel 2,2028,7,0.95
Channel 2,2028,8,0.95
Channel 2,2028,9,1.06
Channel 2,2028,10,1.08
Channel 2,2028,11,0.99
Channel 2,2028,12,0.84
