bp_segment,month,headcount_mom
Segment One,2025-01,1.0
Segment One,2025-02,1.00996677740864
Segment One,2025-03,1.02960526315789
Segment One,2025-04,1.02396166134185
Segment One,2025-05,1.01248049921997
Segment One,2025-06,1.02927580893683
Segment One,2025-07,1.04491017964072
Segment One,2025-08,1.0243553008596
Segment One,2025-09,1.01818181818182
Segment One,2025-10,1.02884615384615
Segment One,2025-11,1.01335113484646
Segment One,2025-12,1.00131752305665
Segment One,2026-01,1.03947368421053
Segment One,2026-02,1.03670886075949
Segment One,2026-03,1.001221001221
Segment One,2026-04,1.04024390243902
Segment One,2026-05,1.03868698710434
Segment One,2026-06,1.02595936794582
Segment One,2026-07,1.02970297029703
Segment One,2026-08,1.00534188034188
Segment One,2026-09,1.00318809776833
Segment One,2026-10,1.01271186440678
Segment One,2026-11,1.00836820083682
Segment One,2026-12,0.99792531120332
Segment One,2027-01,1.02182952182952
Segment One,2027-02,1.02441505595117
Segment One,2027-03,1.00198609731877
Segment One,2027-04,1.02477700693756
Segment One,2027-05,1.02417794970986
Segment One,2027-06,1.0028328611898
Segment One,2027-07,1.02354048964218
Segment One,2027-08,1.02023919043238
Segment One,2027-09,1.00270513976555
Segment One,2027-10,1.01438848920863
Segment One,2027-11,1.0177304964539
Segment One,2027-12,1.00348432055749
Segment One,2028-01,1.01822916666667
Segment One,2028-02,1.02046035805627
Segment One,2028-03,0.998329156223893
Segment One,2028-04,1.018410041841
Segment One,2028-05,1.01807723911257
Segment One,2028-06,1
Segment One,2028-07,1.01937046004843
Segment One,2028-08,1.01741884402217
Segment One,2028-09,1.00077821011673
Segment One,2028-10,1.01088646967341
Segment One,2028-11,1.01461538461538
Segment One,2028-12,1.00151630022744
